GENE_TREES,FULL_NAMES
CaffW,"C. sp. nov., Kaua'i"
Ccalp,C. calpidicarpa
Ccord,C. cordifolia
CcXh,C. hawaiiensis 4
Cgiff,C. giffardii
Cgna2,C. grayana
Cgran,C. grandiflora
Cgyi1,C. grayi 1
Cgyi2,C. grayi 2
Chaw1,C. hawaiiensis 1
Chaw2,C. hawaiiensis 2
Chaw3,C. hawaiiensis 3
ChXg,C. hawaiensis x C. grayana
Ckau,C. kauaiensis
Ckaul,C. kaulantha
Clong,C. longifolia
ClXk,C. longifolia x C. kauaiensis
Clysi,C. lysiosepala
Cmacr,C. macrocalyx
Cmunr,C. munroi 1
CmXg,C. munroi 2
Coccu,C. occulta
Coxyb2,"C. sp. nov., E. Maui"
Cpalu,C. paludosa
Cplat,C. platyphylla
Csand,C. sandwicensis 1
CsXg,C. sandwicensis 2
Ctint,C. tintinnabula
Cvict,C. victoriae
Cwagn,C. wagneri
Cwain,C. wainihaensis
Cwawr,C. wawrae 1
Cwawr2,C. wawrae 2